creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,numberOfBedrooms,livingSpace,numberOfFloors,fact_numberOfRooms,fact_numberOfBedrooms,fact_livingSpace,fact_numberOfFloors,plotSpace,fact_plotSpace,availability,fact_availability,lon,lat,price_m2
2025-11-21 13:24:29.847119100+00:00,2025-11-21 13:24:29.847117400+00:00,Annecy,74000,FR,Point,"[6.118392999999999, 45.905894999999944]","Appartement meublé  lumineux, 49m2, refait à neuf, entièrement équipé, une chambre lit 160x200 , un salon avec canapé lit, 
Un balcon de 11m2,cuisine équipée,  une place de parking , une cave 
5min à pied du centre Courier, 
Nous souhaitons louer à partir du 1er décembre en bail mobilité de préférence.
loyer 1200€ hors charges 
charges locatives 90€ (eau chaude, chauffage, charges copropriété)
si vous le souhaitez Nous proposons un forfait mensuel de 70€ pour eau froide , électricité, internet, 

Un dossier complet est attendu (bulletin de paie, feuille d’imposition, copie carte identité caution.solidaire)
cordialement",T2 Meublé 49m2 Annecy,Appartement à louer,"['2 pièces', '1 chambre', '49 m²', 'Étage 1/4']",1290.0,seloger,254IW52F75YL,2.0,1.0,49.0,14.0,2 pièces,1 chambre,49 m²,Étage 1/4,,,,,6.118392999999999,45.905894999999944,26.0
,2025-11-24 16:01:16.702000+00:00,Annecy,74000,FRA,Point,"[6.126227, 45.909568]","Type Studio Meublé à louer sur Annecy, disponible.
Dans résidence étudiante située à proximité des lycées Berthollet et Sommeiller, studio meublé, en parfait état, d'une surface de 20,61 M²
environ, au 1er étage, entièrement répeint, pièce principale avec grande baie vitrée, kitchenette équipée (réfrigérateur, 2 plaques de
cuisson neuves et four micro-ondes neuf), salle de bain avec lavabo, douche neuve et WC, chauffage individuel électrique et eau
froide collective.
Studio exposé Sud, au calme, côté avenue de Novel. 
Tout le mobilier est neuf.",STUDIO,Appartement à louer - logement étudiant,"['1 pièce', '20,6 m²', 'Étage 1/6']",640.0,seloger,25A1ALINMZ2Q,1.0,,20.6,16.0,1 pièce,,"20,6 m²",Étage 1/6,,,,,6.126227,45.909568,31.0
,2025-12-09 01:17:12.965000+00:00,Annecy,74370,FRA,MultiPolygon,"[[[[6.14062, 45.88354], [6.12479, 45.87321], [6.12157, 45.85822], [6.11724, 45.85732], [6.11186, 45.85055], [6.10264, 45.84994], [6.10108, 45.85202], [6.1086, 45.86499], [6.10433, 45.8661], [6.10333, 45.86952], [6.11379, 45.8823], [6.11445, 45.88732], [6.11866, 45.88932], [6.11363, 45.89475], [6.1173, 45.89285], [6.11782, 45.89567], [6.11093, 45.90211], [6.11692, 45.90946], [6.11282, 45.91472], [6.10606, 45.91739], [6.10988, 45.92065], [6.11382, 45.91818], [6.11929, 45.92025], [6.12383, 45.92465], [6.12417, 45.93033], [6.12577, 45.92579], [6.12918, 45.92581], [6.13927, 45.91502], [6.13788, 45.91256], [6.14458, 45.9062], [6.15593, 45.88278], [6.14062, 45.88354]]]]","Sur la commune de Pringy à 2 minutes d'Annecy situé au 1er étage d'une petite copropriété, découvrez cet appartement de 4 pièces d'environ 90 m². Il est composé d'une entrée indépendante, une pièce de vie salon/séjour, une cuisine ouverte toute équipée, trois chambres avec rangement, une salle de bain et un WC séparé pour cet appartement de 4 pièces à louer. Une terrasse vient compléter ce bien. Belles finitions, climatisation, nombreux rangements. Proches axes routiers. Retrouvez tous nos biens sur  L'agence Edelweiss Immobilier vous accueille et vous conseille pour toutes transactions immobilières, achat et vente. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques:",PRINGY - APPARTEMENT 90m² - A LOUER,Appartement à louer,"['4 pièces', '3 chambres', '90 m²', 'RDC']",1500.0,seloger,25BTZ4WAPQJB,4.0,3.0,90.0,,4 pièces,3 chambres,90 m²,RDC,,,,,6.125850607783897,45.89080300463276,17.0
,2025-11-27 21:46:19.735000+00:00,Annecy,74000,FRA,MultiPolygon,"[[[[6.12595, 45.90556], [6.12116, 45.90517], [6.12143, 45.90737], [6.12286, 45.9075], [6.12195, 45.90881], [6.12155, 45.91161], [6.12586, 45.9118], [6.12595, 45.90556]]]]","Type T2 Neuf à louer sur ANNECY, disponible le : 01/12/2025.
Dans résidence neuve, située dans un quartier calme et à proximité immédiate de l'hypercentre d'ANNECY, appartement neuf au 2ème 
étage avec ascenseur, d'une surface de 43 m² environ, composé d'un séjour avec accès à un balcon-terrasse de 6 M², cuisine ouverte
et aménagée neuve (éléments hauts et bas, ilot central, hotte, plaque de cuisson, four, emplacement lave-vaisselle), d'une chambre avec
sol parquet et grand placard aménagé, d'une salle de bain équipée d'un meuble-vasque et miroir, d'une baignoire, d'un radiateur sèche-
serviettes et d'un WC suspendu, double-vitrage, volets roulants électriques et brise soleil orientable électrique, chaudière individuelle
gaz (dans placard au-dessus WC), local vélos.",T2,Appartement à louer,"['2 pièces', '1 chambre', '43,2 m²', '2ème étage']",1030.0,seloger,25U4P63P8XJ4,2.0,1.0,43.2,2.0,2 pièces,1 chambre,"43,2 m²",2ème étage,,,,,6.123790254585795,45.90847815184956,24.0
,2025-10-16 08:31:12.645000+00:00,Annecy,74000,FRA,MultiPolygon,"[[[[6.12852, 45.90041], [6.12789, 45.90041], [6.12525, 45.90451], [6.12625, 45.90572], [6.13055, 45.90612], [6.13536, 45.90411], [6.1359, 45.90315], [6.14745, 45.90045], [6.1478, 45.89967], [6.13185, 45.89995], [6.13134, 45.90005], [6.13134, 45.90036], [6.12852, 45.90041]]]]","Type T4 à louer sur ANNECY, disponible.
Dans le quartier très prisé du Parmelan, à proximité des Galeries Lafayette, du centre ville et du lac, appartement situé au 1er étage
avec ascenseur, d'une surface de 93 M² environ, rénové en peinture, parquet chambres et séjour poncé et vitrifié, salle de bain neuve
(meuble-vasque, douche et cumulus), séjour, 3 chambres, WC indépendant, cuisine aménagée (éléments hauts et bas, hotte, plaque
de cuisson gaz, four et branchement lave-vaisselle), loggia attenante, double-vitrage neuf (sauf porte-fenêtre cuisine), balcon,
chauffage collectif avec répartiteurs.
Une cave et un grenier complètent l'offre de location.
Un local vélos à l'intérieur et un local vélos dans la cour sont à votre disposition.",T4,Appartement à louer,"['4 pièces', '3 chambres', '93,4 m²', '1er étage']",1780.0,seloger,25DX79F8G2RY,4.0,3.0,93.4,1.0,4 pièces,3 chambres,"93,4 m²",1er étage,,,,,6.133993863868649,45.90229186208983,19.0
,2025-07-16 08:37:07.683000+00:00,Annecy,74000,FRA,Point,"[6.124655, 45.898362]","Splendide appartement  avec plus de 3 m de hauteur sous plafond, très bien agencé et très grand pour un 2 pièces (65 m2)au cœur du quartier historique, dans la rue la plus typique du Vieil Annecy (rue Sainte Claire),  au 1er étage sans ascenseur d'un immeuble du 17ième siècle.  L'intérieur est design avec un magnifique mur en pierre.
Appartement entièrement meublé contemporain de 65 m2 comprenant une entrée, une cuisine équipée et ouverte sur le séjour, une chambre avec parquet et une grande armoire avec nombreux rangements, une salle de bain et un WC séparé.
Possibilité de louer en plus une place de parking non nominative à l'année au prix de 70 euros/mois (à 250-300 m de l'appartement). 
Vous n’avez plus qu’à poser vos valises.
Tout est inclus: charges de copropriété, chauffage au gaz, électricité, eau et wifi (fibre). Durée minimum: 1 an pour ce prix.
De particulier à particulier (pas d’honoraire).
Possibilité de photos supplémentaires sur demande.
Agences et curieux s’abstenir.",À propos de ce bien,Appartement à louer,"['2 pièces', '1 chambre', '65 m²', '1er étage']",1615.0,seloger,247LA4IZ8R29,2.0,1.0,65.0,1.0,2 pièces,1 chambre,65 m²,1er étage,,,,,6.124655,45.898362,25.0
,2025-07-16 08:32:09.940000+00:00,Annecy,74000,FRA,MultiPolygon,"[[[[6.13962, 45.90847], [6.13751, 45.90769], [6.13567, 45.90769], [6.13243, 45.90523], [6.13069, 45.90609], [6.13116, 45.90667], [6.13121, 45.9098], [6.13147, 45.91119], [6.13191, 45.91176], [6.13672, 45.91098], [6.13683, 45.91136], [6.13962, 45.90847]]]]","Bel appartement en meublé de type 2 de 46.07 m² au 1er étage avec ascenseur, une cave et une place de parking privative. Dans une copropriété de standing, l'appartement se compose d'une entrée, d'une pièce de vie avec cuisine équipée ouverte sur le séjour donnant sur balcon de 11.55 m², une chambre avec des rangements, une salle de bains et un WC séparé. Une cave et une place de parking privative complètent le logement. Vous serez séduit par la proximité des commerces, du lac et des transports en commun. Chauffage et production d'eau chaude électrique. le bien est immédiatement disponible.",À propos de ce bien,Appartement à louer,"['2 pièces', '46 m²', 'Étage 1/1']",930.0,seloger,24W1KYSUH5KF,2.0,,46.0,11.0,2 pièces,,46 m²,Étage 1/1,,,,,6.134339877002897,45.90887180227352,20.0
2025-09-04 08:04:56.494603300+00:00,2025-11-18 22:01:07.985050400+00:00,Annecy,74000,FR,Point,"[6.13323505171483, 45.9093531487214]","Appartement meublé libre à la location
 114 m², résidence les Glières au 11, rue Henry Bordeaux à Annecy équipée d’ascenseurs et de visiophone.
Situé au deuxième étage surélevé avec un grand salon, salle à manger, trois chambres à coucher, cuisine équipée (bosch- whirlpool- brandt) , salle de bains avec baignoire , douche indépendante et 3 terrasses. 
Porte d’entrée blindée. Nombreux placards .

Grande cave avec porte sécurisée. Place privative de parking extérieur.
Garage à vélo collectif.
Résidence calme,  au sein d’un parc. 
Residence située dans le triangle d’or, proche des Galeries Lafayette et des commodités du quartier du parmelan. Proche du lac, des bus, et de la piste cyclable. Accès facile aux axes autoroutiers. 
Plusieurs lycées et écoles à proximité. 

Dossier de location classique :
- Documents d’identité, 
- certificat de domicile actuel 
- documents concernant l’activité professionnelle, 
- documents concernant les ressources 
- caution, solidaire avec les mêmes documents pour le caution que pour le Locataire ou alors une caution bancaire de 6 mois
Pas de frais d’agence. 
Bail de 1 an renouvelable par tacite reconduction.
État des lieux effectué par huissier et coût partagé 50/50.

Photos supplémentaires à la demande",Appartement meublé F5 2 eme étage triangle d’or,Appartement à louer,"['5 pièces', '3 chambres', '114 m²']",2250.0,seloger,25666FR1K3A5,5.0,3.0,114.0,,5 pièces,3 chambres,114 m²,,,,,,6.13323505171483,45.9093531487214,20.0
,2025-12-03 12:50:22.785000+00:00,Annecy,74000,FRA,MultiPolygon,"[[[[6.14062, 45.88354], [6.12479, 45.87321], [6.12157, 45.85822], [6.11724, 45.85732], [6.11186, 45.85055], [6.10264, 45.84994], [6.10108, 45.85202], [6.1086, 45.86499], [6.10433, 45.8661], [6.10333, 45.86952], [6.11379, 45.8823], [6.11445, 45.88732], [6.11866, 45.88932], [6.11363, 45.89475], [6.1173, 45.89285], [6.11782, 45.89567], [6.11093, 45.90211], [6.11692, 45.90946], [6.11282, 45.91472], [6.10606, 45.91739], [6.10988, 45.92065], [6.11382, 45.91818], [6.11929, 45.92025], [6.12383, 45.92465], [6.12417, 45.93033], [6.12577, 45.92579], [6.12918, 45.92581], [6.13927, 45.91502], [6.13788, 45.91256], [6.14458, 45.9062], [6.15593, 45.88278], [6.14062, 45.88354]]]]","ANNECY PISCINE/PATINOIRE F1 meublé 36.42 m² au 1er étage avec ascenseur, une cuisine équipée séparée avec un balcon, une pièce principale avec un balcon, une salle d'eau, un wc séparé. Chauffage et eau chaude collectifs DPE : D Loyer 680 euros par mois + 98 euros de charges par mois (révision annuelle) FA 473.46 euros EDL inclus. Disponible mi décembre 2025. Agence ACCORT 

Honoraires de 473 euros TTC à la charge du locataire comprenant 109 euros TTC pour l'état des lieux. Loyer de base 680 euros/mois. Provision sur charges 98 euros/mois, régularisation annuelle. Dépôt de garantie 1 360 euros. Classe énergie D, Classe climat D Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 540.00 euros et 780.00 euros sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",ANNECY F1 meublé,Appartement à louer,"['2 pièces', '1 chambre', '36,4 m²', '1er étage']",778.0,seloger,25J3XRK3C7RM,2.0,1.0,36.4,1.0,2 pièces,1 chambre,"36,4 m²",1er étage,,,,,6.125850607783897,45.89080300463276,21.0
,2025-12-01 10:35:13.700000+00:00,Annecy,74000,FRA,MultiPolygon,"[[[[6.12736, 45.9012], [6.12789, 45.90041], [6.13134, 45.90036], [6.13134, 45.90005], [6.13185, 45.89995], [6.1478, 45.89967], [6.14839, 45.89836], [6.14547, 45.89789], [6.1382, 45.89855], [6.12906, 45.89825], [6.12928, 45.89794], [6.13068, 45.8977], [6.13184, 45.89672], [6.12942, 45.89514], [6.12993, 45.89409], [6.12871, 45.8941], [6.12777, 45.89469], [6.12752, 45.89609], [6.12673, 45.89661], [6.12524, 45.89726], [6.12381, 45.89744], [6.12347, 45.89789], [6.12262, 45.89728], [6.12172, 45.89958], [6.12736, 45.9012]]]]","Au 3ème étage d'un immeuble idéalement situé dans une rue piétonne du centre-ville, cet appartement de type 2 vous accueille dans un espace de vie bien agencé. Dès l'entrée, vous apprécierez la fonctionnalité du hall qui dessert harmonieusement les différentes pièces.Le séjour, revêtu d'un élégant parquet, offre un espace chaleureux pour vos moments de détente. La cuisine équipée avec réfrigérateur et plaques de cuisson vous permettra de préparer vos repas en toute simplicité. La chambre, dotée d'un placard intégré, garantit un espace nuit confortable et pratique. Côté salle d'eau, profitez d'une salle de bain avec baignoire et d'un WC séparé pour plus de commodité.Cet appartement bénéficie d'un chauffage collectif, tandis que l'eau chaude et froide sont en gestion individuelle (abonnement à souscrire).N'hésitez pas à déposer votre dossier sur notre site internet Foncia au plus vite.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  georisques. gouv. fr",APPARTEMENT,Appartement à louer,"['2 pièces', '1 chambre', '48,4 m²', '3ème étage']",867.0,seloger,25AQDMJBA6TL,2.0,1.0,48.4,3.0,2 pièces,1 chambre,"48,4 m²",3ème étage,,,,,6.13241684644669,45.89854144772835,18.0
