creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,numberOfBedrooms,livingSpace,numberOfFloors,fact_numberOfRooms,fact_numberOfBedrooms,fact_livingSpace,fact_numberOfFloors,availability,fact_availability,plotSpace,fact_plotSpace,lon,lat,price_m2
2025-12-02 15:46:00+00:00,2025-12-03 01:21:09.400000+00:00,Lyon 3ème,69003,FRA,Point,"[4.880985999999998, 45.748449999999934]","Quartier MONCHAT, au 11 cours du docteur Long, niveau place Henri, à proximité de l'hôpital Edouard Herriot, dans résidence de standing, F2 de 41,81 m² en très bon état, situé au 1er étage avec ascenseur, se composant d'une pièce d'entrée séjour avec balcon et coin cuisine, d'une chambre, et d'une salle de bains avec wc.
Chauffage collectif Gaz avec compteurs calorifiques.
Eau froide et eau chaude compris dans les charges.
Garage en sous-sol.
Loyer mensuel de 890 € ( loyer 710 € + garage 80 € + provision sur charges locatives 45 € + provision consommation chauffage 30 € + provision sur consommation eau chaude 15 € + provision sur consommation eau froide 10 € ).
Honoraire loi ALUR : 543,53 €.",Appartement 2 pièces,Appartement à louer,"['2 pièces', '1 chambre', '41,8 m²', 'Étage 1/5']",890.0,seloger,25VDJV6GLRUJ,2.0,1.0,41.8,15.0,2 pièces,1 chambre,"41,8 m²",Étage 1/5,,,,,4.880985999999998,45.748449999999934,21.0
2025-12-09 02:27:00+00:00,2025-12-09 02:31:08.716000+00:00,Lyon 8ème,69008,FRA,MultiPolygon,"[[[[4.85371, 45.72977], [4.85448, 45.71899], [4.84923, 45.71884], [4.8472, 45.72545], [4.84856, 45.73752], [4.85723, 45.74146], [4.85991, 45.74955], [4.89188, 45.7391], [4.88677, 45.72949], [4.88756, 45.72035], [4.88605, 45.7215], [4.88087, 45.72174], [4.86237, 45.72694], [4.85981, 45.73072], [4.85371, 45.72977]]]]","A LOUER - Au 15 Avenue Jean Mermoz à LYON 08 dans une nouvelle copropriété sécurisée, venez découvrir ce magnifique T2 non meublé. Il se compose d'un séjour avec cuisine ouverte et équipée, d'une chambre et d'une salle d'eau avec WC. Le séjour donne sur un balcon de 5 m². Disponible de suite. Honoraires locataires : 548.21 euros Dont : - Visite, constitution dossier, rédaction de bail : 421.7 euros - Etablissement état des lieux : 126.51 euros - Dépôt de garantie : 700.0 euros Loyer 780.0 euros /mois C.C, dont charges mensuelles : 80.0 euros, régularisation annuelle Montant estimé des dépenses annuelles d'énergie pour un usage standard entre 310.0  € et 419.0  € indexées aux années 2021, 2022, 2023 (abonnements compris).",2 pièces,Appartement à louer,"['2 pièces', '1 chambre', '42,2 m²', 'RDC']",780.0,seloger,25B7XRZ8NEMK,2.0,1.0,42.2,,2 pièces,1 chambre,"42,2 m²",RDC,,,,,4.868978497660917,45.73400638695684,18.0
2025-12-02 11:03:00+00:00,2025-12-02 11:06:07.169000+00:00,Lyon 2ème,69002,FRA,Point,"[4.825866, 45.745016999999926]","Plusse vous propose un charmant T3 meublé de 45 m2 situé au 27 rue Delandine-Lyon-69002

Ce quartier ancien historiquement lié à la bourgeoisie lyonnaise se rajeunit aujourd'hui au profit des cadres, des étudiants et des familles. C'est à la fois une localité avec de multiples monuments et lieux centraux tels que la place Bellecour mais également un pôle de mobilité important avec la gare Perrache.
Vous retrouverez à la fois de nombreuses boutiques luxueuses, mais aussi de nombreux commerces de tous types. Vous pourrez par ailleurs profiter de nombreux lieux de restauration, notamment le long des quais de Saône avec une vue imprenable sur la basilique de Fourvière.

[Disponible : 20-12-2025]

L'appartement dispose de :
- D'une belle pièce de vie refaite à neuf, disposant d'une cuisine ouverte sur le séjour
- D'une cuisine entièrement équipée d'un four, lave-vaisselle, plaque de cuisson et d'un lave-linge
- De 2 belles chambres disposant de rangements et d'un bureau
- D'une salle d'eau avec WC séparés

[Transport]
L'appartement est situé à proximité de nombreux transports :
- À moins de 10 minutes à pied de la Gare Perrache
- À 13 minutes de la place Bellecour en métro A (arrêt Perrache)
- À seulement 18 minutes de la gare Part-Dieu en tram T2 puis métro B (arrêt Place des archives puis arrêt Jean Macé)

Honoraires à la charge du locataire : 572 €TTC dont 132€ pour les frais d'état des lieux et 440 pour les frais de visites, constitution du dossier et rédaction du bail.
Dépôt de garantie : 1990 €
Montant du loyer charges comprises : 1095 € / mois
Loyer hors charges : 995 €
Montant des charges : 100 € / mois - Forfait de charge
Charges incluses : Eau froide, Entretien des parties communes, Taxe d'ordures ménagères
Charges NON incluses : Eau chaude, Electricité, Chauffage, Internet

Montant du loyer de référence majoré = 723.6€
Montant du loyer de base = 723.6€ / mois
Montant éventuel du complément de loyer : 273.4€ / mois

Classement du logement en matière de performance énergétique : D : de 151 à 230 - D - 221 kWhEP/m².an
Classement du logement en matière d'émissions de gaz à effet de serre : D : de 21 à 35 - D - 47 kg éqCO2/m².an

À saisir rapidement !

Société PLUSSE SAS - ??Numéro SIRET : 84888128000012 - Numéro RCS Lyon B 848 881 280
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  georisques. gouv. fr",27 rue Delandine-Lyon-69002  - T3 Meublé - 1095 €CC,Appartement à louer,"['3 pièces', '2 chambres', '45 m²', '1er étage']",1095.0,seloger,25DENJLUE554,3.0,2.0,45.0,1.0,3 pièces,2 chambres,45 m²,1er étage,,,,,4.825866,45.745016999999926,24.0
2025-11-06 14:14:00+00:00,2025-12-06 08:16:16.664000+00:00,Lyon 5ème,69005,FRA,Point,"[4.794768, 45.75839799999993]","26 B, rue des Aqueducs 69005 Lyon, au cœur du Point du Jour, au 7ème et dernier étage avec ascenseur, très bel F4 de 91,72 m² en parfait état et comprenant entrée et couloir, séjour donnant sur un balcon à l’Est, cuisine séparée équipée de meubles bas et hauts + plaque induction + branchements pour lave-linge et lave-vaisselle, cellier, 3 chambres avec placard, salle de bain avec baignoire, et wc séparé. L’un des très gros plus de cet appartement est sa magnifique terrasse rooftop privative à ciel ouvert de 70 m² accessible depuis le séjour par un escalier colimaçon. L’appartement est loué avec une cave. Interphone, badge immeuble, parc arboré, ascenseur, double vitrage, volets roulants électriques, carrelage et parquet aux sols, chauffage collectif gaz, eau froide et chaude collectives, orientation Est/Ouest. Très bel appartement hyper lumineux et calme, bénéficiant d’une magnifique terrasse à ciel ouvert, idéalement situé en plein cœur du Point du Jour donc avec commerces, écoles et bus. Loyer principal : 1100,64 € (loyer de référence majoré : 1100,64 €) + Complément de loyer : 414,96 + Charges : 150,00 € comprenant les charges de copropriété, le chauffage, l’eau froide et chaude. Dépôt de garantie : 1515,60 €. Frais de location et d’état des lieux à la charge du locataire : 1192,36 € ttc dont 275,16 € ttc de frais d’état des lieux à la charge du locataire. FD IMMOBILIER. Transactions et Locations. Sarl au capital de 7700 € - RCS Lyon Siret n° 435 224 191 00013 - Code NAF 6831Z - Carte Professionnelle n° CPI 6901 2018 000 026 628 délivrée par la CCI Lyon Métropole Saint Etienne Roanne - RCP Allianz Iard Paris La Défense n° 49481563 - Non soumis à garantie financière - Tva intracommunautaire n°FR11435224191.","Location F4 - 26 B, rue des Aqueducs 69005 Lyon",Appartement à louer,"['4 pièces', '3 chambres', '91,7 m²', 'Étage 7/7']",1666.0,seloger,2524YZ9M2KYE,4.0,3.0,91.7,77.0,4 pièces,3 chambres,"91,7 m²",Étage 7/7,,,,,4.794768,45.75839799999993,18.0
2025-12-02 10:42:00+00:00,2025-12-02 10:46:05.583000+00:00,Lyon 3ème,69003,FRA,Point,"[4.856207, 45.757159]","T3 Part-Dieu Meublé - Disponible à partir du 28/11/2025

Venez découvrir ce T3 meublé de 66.84 m² entièrement refait à neuf, au cœur de la Part-Dieu, rue Paul Bert, à proximité immédiate du centre commercial, de la gare et des transports en commun, situé au 4ème étage. Le logement est composé d'une entrée avec placard, d'une cuisine aménagée et équipée ouverte sur la salle à manger et le salon donnant sur un balcon, deux chambres avec placard et télévision, une salle de bains avec douche et baignoire et un wc indépendant. 
Vous avez la possibilité de louer un garage en sous-sol pour 90 € supplémentaires par mois. 
Les charges comprennent l'entretien de la copropriété et la provision d'eau froide. Le chauffage est individuel électrique. 
Zone soumise à l'encadrement des loyers, loyer de référence médiant : 909,02€/mois, loyer majoré : 1089,49€/mois complément de loyer : 380.51€
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  
 Loyer de 1 570,00 euros par mois charges comprises dont 100,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). 
 Les honoraires charge locataire sont de 668,40 euros ( soit 10,00 euros/m² ) dont 200,52 euros pour état des lieux ( soit 3,00 euros/m² ). 
Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 760 et 1 080 euros.",Appartement rénové,Appartement à louer,"['3 pièces', '2 chambres', '66,8 m²', 'Étage 4/6']",1570.0,seloger,259927I2AS19,3.0,2.0,66.8,46.0,3 pièces,2 chambres,"66,8 m²",Étage 4/6,,,,,4.856207,45.757159,24.0
2025-11-19 06:12:00+00:00,2025-11-19 06:16:15.552000+00:00,Lyon 8ème,69008,FRA,Point,"[4.881975, 45.726789]","STUDIO NEUF MEUBLE AVEC JARDIN ET ESPACES COLLECTIFS - 69008 - STUDIO NEUF MEUBLE - 9 rue Alphonse Rodet 69008

Anjalys vous propose à la location un studio neuf au premier étage d'une maison divisée.
Le bien se compose d'une entrée, une pièce à vivre, une cuisine ouverte aménagée et équipée (plaques de cuisson, frigo, micro-onde) et une salle d'eau avec WC.
Des espaces collectifs sont mis à disposition comme un jardin avec terrasse et salon extérieur (vélo elliptique, rack à vélo), un salon/salle à manger intérieur ainsi qu'une machine à laver séchante.

Chauffage et eau chaude collectif. Eau froide collective également.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques 

Pour visiter ce bien, veuillez déposer un dossier directement sur notre site internet groupe Anjalys, pour cela, vous devez aller dans l'onglet LOUER, sélectionner l'annonce et de cliquer sur ""déposer mon dossier"".
Contact : 

Appartement soumis à l'encadrement des loyers. Loyer de référence : 262,42€. Loyer de référence majoré : 314,60€. Complément de loyer : 285,40€. 
 Loyer de 650,00 euros par mois charges comprises dont 50,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). 
 Les honoraires charge locataire sont de 193,83 euros ( soit 13,00 euros/m² ) dont 44,73 euros pour état des lieux ( soit 3,00 euros/m² ). 
DPE ANCIENNE VERSION. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 600 euros",Appartement neuf,Appartement à louer,"['1 pièce', '14,9 m²', '1er étage']",650.0,seloger,25A2DFMCDJKW,1.0,,14.9,1.0,1 pièce,,"14,9 m²",1er étage,,,,,4.881975,45.726789,44.0
2025-11-29 09:10:00+00:00,2025-12-09 10:10:10.045000+00:00,Lyon 3ème,69003,FRA,Point,"[4.8481916, 45.7541498]","1 chambre(s) libre(s) dans une colocation de 1 chambres dans un appartment de 70m2

Colocation meublée !
--
Tous nos appartements sont situés en centre-ville et proches de toutes
commodités et transports en communs (Métro, Tramway et Bus).
--
Cette superbe chambre en colocation, meublée, équipée et tout inclus à Lyon unit confort et design. Elle offre de nombreux équipements comme un lit confortable et hypoallergénique avec couette et oreillers. Ne vous manque plus à apporter que vos vêtements pour y vivre ! La chambre possède un cadenas si besoin. Le logement est localisé dans le quartier Guillotière, en plein coeur de Lyon. De nombreux commerces, transports publics, restaurants sont situés à proximité. La colocation est à l'étage 5 avec ascenseur. Elle est prête-à-vivre et propose une cuisine complètement équipée avec frigo, poêles, casseroles, vaisselle, bouilloire, ustensiles, micro-ondes… Ainsi que lave-linge, tancarville, fer à repasser, planche à repasser. Tout le nécessaire pour le ménage est sur place au sein de cette colocation : balai, balai-brosse, aspirateur, seau et serpillère… Chaque colocation meublée Joivy inclut toutes les charges : eau, assurance habitation, charges de copropriété, taxe sur les ordures, wifi illimité, électricité.
Toutes nos chambres sont entièrement meublées (lit, bureau, penderie,
couette, oreillers…).
--
Tous nos appartements sont entièrement équipés (lave-linge, vaisselle,
décoration…) par nos équipes, qui se chargent également de la maintenance
technique et matérielle.
--
Durée minimum de séjour : 1 mois
Appartement éligible à la CAF jusqu'à 258€ / mois. La CAF pour Caisse
d'allocations familiales est un service public gratuit et français éligible
pour tous,y compris les étranger et qui peut vous aider financièrement à
payer une partie de votre logement en fonction de votre situation que vous
soyez français ou étranger. Pour connaître le montant potentiel de votre
aide, rendez-vous sur le site de CAF et complétez l'estimation en ligne des
APL (aide pour le logement).
Frais de services : à partir de 390€
Les frais de services couvrent l'écriture du bail mais également
l'assistance tout au long de votre séjour. Les frais de services couvrent
ainsi la réparation et l'entretien du matériel ainsi que l'accès à notre
support ultra réactif en cas de besoin d'intervention dans votre logement.
Caution : 900€
--
Nous accueillons principalement des étudiants ou des jeunes actifs français
ou étrangers de 18 à 35 ans. Notre objectif est de faciliter l'accès à un
logement meublé et parfaitement équipé et de vous permettre de faire de
belles rencontres. Nos locataires sont de toute origine et toute culture !

Updated on 09/12/2025
  Mise à jour le 09/12/2025",Chambre dans une colocation de 70m2,Studio à louer,"['1 pièce', '1 chambre', '70 m²', '5ème étage']",745.0,seloger,258XABJUMG43,1.0,1.0,70.0,5.0,1 pièce,1 chambre,70 m²,5ème étage,,,,,4.8481916,45.7541498,11.0
2025-11-20 13:48:00+00:00,2025-11-20 13:50:10.180000+00:00,Lyon 1er,69001,FRA,Point,"[4.816234, 45.768539]","LOCATION MEUBLEE LODGIS (Référence : 3L124597) : Cet appartement meublé de 60 m² est situé 4 Montée De La Butte. Composé de 3 pièces dont 2 chambres, cet appartement en location meublée peut accueillir jusqu'à 4 personnes. Cet appartement au rez-de-chaussée, bénéficie de l'équipement nécessaire pour vous sentir comme à la maison . Parfaitement desservi par les transports en commun, vous trouverez à proximité de nombreux commerces et services (Restaurant, Parc, Musée, Hôpital, Epicerie, Ecole, Boulangerie).",3 pièces,Appartement à louer,"['3 pièces', '2 chambres', '57 m²', 'RDC']",1215.0,seloger,2571JM36G3VY,3.0,2.0,57.0,,3 pièces,2 chambres,57 m²,RDC,,,,,4.816234,45.768539,21.0
2025-11-17 03:04:00+00:00,2025-11-17 03:10:09.463000+00:00,Lyon 7ème,69007,FRA,Point,"[4.8421923, 45.7527329]","Oqoro vous propose cette colocation de 3 chambres de 58 m² située au 29 rue Bechevelin (Lyon, 69007).

VISITE VIRTUELLE DISPONIBLE SUR DEMANDE 
 
LA CHAMBRE
La chambre 2 est à gauche de l'entrée au fond du couloir, elle est entièrement meublée et possède un lit double, un grand placard et un bureau avec chaise.

LE LOGEMENT 
OQORO vous présente ce superbe T4 meublé de 63m², idéalement situé dans le 7ème arrondissement de Lyon au 29 rue Bechevelin.
La porte d'entrée de ce logement s'ouvre sur une pièce de vie aménagée avec un canapé, des tables basses, une TV, des étagères et un placard de rangement. 
La cuisine moderne est tout équipée : four, micro-onde, machine à café, bouilloire, plaques de cuisson, frigo, rangements, etc.
L'appartement est équipé d'une grande salle de bain avec baignoire et machine à laver.
 
CADRE DE VIE
Cet appartement est situé à proximité de toutes les commodités nécessaires à la vie de tous les jours (supermarché, boulangerie, pharmacie, restaurants/ bars, etc.) ainsi que de transports permettant notamment de rejoindre facilement et rapidement la Gare Part-Dieu.

TRANSPORTS
Métro D (arrêt Guillotière) et Métro D & B (arrêt Saxe Gambetta) à moins de 10 minutes à pied
Tram T1 (arrêt Rue de l'Université & Saint-André) à moins de 5 minutes à pied
De nombreuses lignes de bus, dont des lignes au service renforcé circulent également dans un rayon de 300 mètres autour du logement.

SERVICES ET ÉQUIPEMENTS INCLUS
Chauffage, Eau chaude, Eau courante, Electricité, Entretien de la chaudière, Entretien de l'immeuble, Internet Fibre, Taxe Ordures Ménagères

——
Merci de cliquer sur la mention Voir les tarifs du professionnel (en bas de page) afin de déposer votre dossier directement sur notre site 
 POUR FAIRE UNE CANDIDATURE, ALLER SUR NOTRE SITE WEB OQORO ET RENSEIGNER LA REFERENCE : SL3154L
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : 
Montant estimé des dépenses annuelles d'énergie pour un usage standard : 950 euros par an.
Prix moyens des énergies indexés sur l'année 2021 (abonnements compris)",Chambre en colocation appartement meublé,Appartement à louer,"['4 pièces', '3 chambres', '58,6 m²', 'RDC']",681.0,seloger,25ERZPNRDQ3S,4.0,3.0,58.6,,4 pièces,3 chambres,"58,6 m²",RDC,,,,,4.8421923,45.7527329,12.0
2025-11-26 09:35:00+00:00,2025-11-26 09:41:16.989000+00:00,Lyon 8ème,69008,FRA,MultiPolygon,"[[[[4.89188, 45.7391], [4.89185, 45.73853], [4.8915, 45.73793], [4.89113, 45.73737], [4.8909, 45.73701], [4.89085, 45.73692], [4.89051, 45.73638], [4.89039, 45.73618], [4.89001, 45.73555], [4.88978, 45.73516], [4.88961, 45.7352], [4.88951, 45.73522], [4.88941, 45.73524], [4.88886, 45.73537], [4.88877, 45.73539], [4.88854, 45.73545], [4.88834, 45.73549], [4.88728, 45.73575], [4.88711, 45.7358], [4.88703, 45.73583], [4.88695, 45.73587], [4.88688, 45.73592], [4.8868, 45.73599], [4.8867, 45.7361], [4.88659, 45.73624], [4.88634, 45.73621], [4.88584, 45.73615], [4.88571, 45.73614], [4.88542, 45.7361], [4.88513, 45.73609], [4.88472, 45.73608], [4.88375, 45.73607], [4.88349, 45.73613], [4.88343, 45.73616], [4.8834, 45.73616], [4.88335, 45.73619], [4.88345, 45.7363], [4.88353, 45.7364], [4.88385, 45.73682], [4.88394, 45.73694], [4.88415, 45.7373], [4.88373, 45.73717], [4.883, 45.73696], [4.88231, 45.73675], [4.88101, 45.7383], [4.88075, 45.7386], [4.88021, 45.73924], [4.88072, 45.73942], [4.88204, 45.73993], [4.8816, 45.74018], [4.88128, 45.74036], [4.88083, 45.74061], [4.88041, 45.74083], [4.88004, 45.74102], [4.87975, 45.74115], [4.87957, 45.74122], [4.87964, 45.7413], [4.87968, 45.74143], [4.87999, 45.74238], [4.88001, 45.74249], [4.88071, 45.74236], [4.88138, 45.74223], [4.882, 45.74215], [4.88276, 45.74205], [4.88308, 45.74199], [4.88338, 45.74192], [4.88519, 45.74131], [4.88557, 45.7412], [4.88689, 45.74076], [4.88823, 45.74032], [4.88841, 45.74026], [4.88933, 45.73996], [4.88985, 45.73979], [4.89029, 45.73964], [4.89102, 45.7394], [4.89122, 45.73933], [4.89161, 45.7392], [4.89188, 45.7391]]]]","Studio de particulier à louer sur Lyon 8. Disponibilité au 22/11/25 pour ce logement meublé de 24 mètres carré proposé à 450  euros par mois.

Avantages du logement :
- Toilettes indépendantes
- Internet
- Balcon
- Transport
- Proche commerce

Ce propriétaire utilise LocService pour sélectionner ses futurs locataires. Pour proposer directement votre candidature pour ce logement ET toutes les locations conformes à votre recherche, il suffit de vous inscrire sur LocService. Les propriétaires vous contactent directement et les locations sont certifiées sans frais d'agence.

Comment ça marche ?
1/ Vous décrivez votre location idéale sur LocService
2/ Votre candidature est transmise aux propriétaires concernés
3/ Les propriétaires vous contactent directement.

Vous réglez une seule fois 34 euros (29 euros pour les étudiants) pour toute la durée de votre recherche. Sans abonnement - Sans prélèvement - Sans commission.

Depuis sa création en 2005, LocService a accompagné plus de 2,8 millions de particuliers. Pourquoi pas vous ?

Ce logement est réservé aux étudiants.",Studio de 24m2 à louer sur Lyon 8,Appartement à louer - logement étudiant,"['1 pièce', '24 m²']",450.0,seloger,25UUEBKE3DAD,1.0,,24.0,,1 pièce,,24 m²,,,,,,4.885726455260194,45.73874869340321,19.0
