creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,livingSpace,numberOfFloors,fact_numberOfRooms,fact_livingSpace,fact_numberOfFloors,numberOfBedrooms,fact_numberOfBedrooms,availability,fact_availability,plotSpace,fact_plotSpace,lon,lat,price_m2
2025-12-08 07:13:00+00:00,2025-12-09 01:17:16.935000+00:00,Marseille 6ème,13006,FRA,Point,"[5.383149000000002, 43.29266999999992]","À LOUER – Studio/T1 avec mezzanine et terrasse – Dernier étage – Marseille

Découvrez ce charmant studio/T1 de 16,81 m² Carrez et 24 m² au sol, idéalement situé au 3 € et dernier étage d'un immeuble marseillais. Le logement bénéficie d'un agencement optimisé ainsi que d'un extérieur très appréciable.

Il se compose d'une cuisine, une salle de bain, une chambre séparée, une mezzanine, parfaite pour du rangement, et une terrasse / balcon, idéale pour profiter des beaux jours.

Situé dans un quartier recherché, proche des commodités et des transports, ce bien offre un cadre de vie agréable et fonctionnel.

Loyer : 500 € + 20 € de charges
Dépôt de garantie : 500 €
Honoraires de location : 218,53 €, dont 50,43 € pour l'état des lieux",Studio/T1 avec mezzanine et terrasse – Dernier étage – Marseille,Appartement à louer,"['1 pièce', '16,8 m²', 'Étage 3/3']",520.0,seloger,25I7782NVY6Q,1.0,16.8,33.0,1 pièce,"16,8 m²",Étage 3/3,,,,,,,5.383149000000002,43.29266999999992,31.0
2025-11-17 13:09:00+00:00,2025-11-19 02:26:11.538000+00:00,Marseille 13ème,13013,FRA,Point,"[5.453503, 43.325842]","SANS HONORAIRES. Louez du neuf sans plafond de ressources!! Résidence neuve LES OLIVES, à quelques pas du village Des Olives 13013 MARSEILLE, dans secteur pavillonnaire à l'abri des regards tout en étant à deux pas de toutes les commodités à pieds (écoles primaire et maternelles, commerces, transports en commun). Nous vous proposons ce magnifique type 3 de 62M² situé au 1er étage et avec des prestations de qualité. La cuisine est agencée d'éléments hauts et bas donnant sur la pièce de vie et la belle terrasse de plus de 13 M². les placards sont aménagés d'étagères et de tringles. la salle est équipée d'un meuble vasque, miroir, sèche serviette. les wc séparés sont équipés d'un lave main. deux stationnements privatifs sont inclus dans le prix ainsi que des provisions d'eau chaude et d'eau froide. livraisons prévue début décembre 2025 Location uniquement sur plan avec visite du logement témoin. photos non contractuelles Référence à rappeler lors de nos échanges : A934 - 372789 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  LAC / Logement Abord.contract.",Appartement T3,Appartement à louer,"['3 pièces', '2 chambres', '63 m²', '1er étage']",1190.0,seloger,25TWKEWXQHC7,3.0,63.0,1.0,3 pièces,63 m²,1er étage,2.0,2 chambres,,,,,5.453503,43.325842,19.0
2025-12-02 19:09:00+00:00,2025-12-02 19:11:09.374000+00:00,Marseille 13ème,13013,FRA,MultiPolygon,"[[[[5.45725, 43.31993], [5.45498, 43.31975], [5.45333, 43.31813], [5.4484, 43.32172], [5.44104, 43.31908], [5.44122, 43.32094], [5.43911, 43.32047], [5.43696, 43.32438], [5.43467, 43.32267], [5.43091, 43.32373], [5.42916, 43.32166], [5.42656, 43.32308], [5.42398, 43.32072], [5.42177, 43.32125], [5.42094, 43.31984], [5.41805, 43.32065], [5.41744, 43.31867], [5.41341, 43.31813], [5.41484, 43.31644], [5.4115, 43.31484], [5.40739, 43.31453], [5.4074, 43.31603], [5.40482, 43.31696], [5.40343, 43.31485], [5.39909, 43.31697], [5.39364, 43.31646], [5.39356, 43.31848], [5.39554, 43.31874], [5.39845, 43.32306], [5.40063, 43.32266], [5.4007, 43.32543], [5.40285, 43.32452], [5.40107, 43.32714], [5.4061, 43.33112], [5.40749, 43.33509], [5.41114, 43.33924], [5.41045, 43.34251], [5.41457, 43.34631], [5.41199, 43.34952], [5.41661, 43.35248], [5.41206, 43.36059], [5.41382, 43.36378], [5.41318, 43.37555], [5.41538, 43.37874], [5.43272, 43.38683], [5.43583, 43.38731], [5.4387, 43.39091], [5.4406, 43.39092], [5.44889, 43.38582], [5.45935, 43.37066], [5.46468, 43.36012], [5.45283, 43.34718], [5.45023, 43.33911], [5.45503, 43.33571], [5.46661, 43.323], [5.4639, 43.32172], [5.46475, 43.32034], [5.46308, 43.3203], [5.46349, 43.31891], [5.46106, 43.31786], [5.45725, 43.31993]]]]","13013 Saint-Just MARSEILLE T2 53m2 habitable. 
Hall ,Sejour ,Salle a manger ,Cuisine ouverte. aménagée. et équip. avec congélateur hotte frigo four micro-ondes plaques ,Chambre ,salle de bains avec wc ,Cave , Balcon.
Appartement refait à neuf. Loyer: 700 € + 140 € de provisions de charges - Toutes nos annonces sur gitimmo - merci de mettre votre n°de téléphone afin d'être contacté au plus vite - Vous pouvez passer directectement au 3 Rue Dragon 13006 Marseille du Lundi au vendredi de 9h30 à 12h30 et de 14h à 18h30 et le samedi de 10h à 13h.. Forfait: 410€",À propos de ce bien,Appartement à louer,"['2 pièces', '1 chambre', '53 m²']",840.0,seloger,25A4CSTGMP4K,2.0,53.0,,2 pièces,53 m²,,1.0,1 chambre,,,,,5.433898758521701,43.35001942126493,16.0
2025-06-23 22:03:00+00:00,2025-12-08 21:46:22.470000+00:00,Marseille 8ème,13008,FRA,MultiPolygon,"[[[[5.40225, 43.17592], [5.40057, 43.17517], [5.39988, 43.17586], [5.40235, 43.17673], [5.40225, 43.17592]]], [[[5.3847, 43.17365], [5.38658, 43.17399], [5.38137, 43.17475], [5.38159, 43.17626], [5.3776, 43.17573], [5.37531, 43.17707], [5.37289, 43.17692], [5.37176, 43.17946], [5.37506, 43.17827], [5.37486, 43.1795], [5.37758, 43.17928], [5.38066, 43.18083], [5.38189, 43.17956], [5.38445, 43.17949], [5.38388, 43.17857], [5.3864, 43.17834], [5.38642, 43.17917], [5.39751, 43.17477], [5.39869, 43.17373], [5.39782, 43.173], [5.38639, 43.17261], [5.3847, 43.17365]]], [[[5.38898, 43.18535], [5.38706, 43.18598], [5.38349, 43.18746], [5.3813, 43.19015], [5.38534, 43.18909], [5.3844, 43.18811], [5.38695, 43.18838], [5.39155, 43.18616], [5.38898, 43.18535]]], [[[5.36284, 43.19997], [5.36703, 43.19718], [5.37165, 43.19387], [5.36221, 43.19686], [5.36139, 43.19875], [5.35856, 43.1997], [5.36284, 43.19997]]], [[[5.22884, 43.19913], [5.23143, 43.1988], [5.22875, 43.1976], [5.22884, 43.19913]]], [[[5.35835, 43.20035], [5.35848, 43.19939], [5.35664, 43.19961], [5.35521, 43.20133], [5.35835, 43.20035]]], [[[5.3378, 43.21286], [5.33972, 43.21162], [5.34007, 43.20913], [5.33837, 43.2079], [5.32855, 43.2124], [5.3378, 43.21286]]], [[[5.32505, 43.21369], [5.32555, 43.21497], [5.32778, 43.21405], [5.32505, 43.21369]]], [[[5.35335, 43.23226], [5.35311, 43.2331], [5.35595, 43.23301], [5.35957, 43.23554], [5.36235, 43.23986], [5.36179, 43.24222], [5.36372, 43.24638], [5.3631, 43.24338], [5.36488, 43.24266], [5.36809, 43.24409], [5.36451, 43.24573], [5.3679, 43.24503], [5.3695, 43.24633], [5.37038, 43.2447], [5.37336, 43.24585], [5.37308, 43.25149], [5.37226, 43.25226], [5.37395, 43.25294], [5.37371, 43.25464], [5.3719, 43.25439], [5.37303, 43.25587], [5.3746, 43.25547], [5.37568, 43.2583], [5.37386, 43.25992], [5.3726, 43.25903], [5.3715, 43.25995], [5.37241, 43.26124], [5.37048, 43.26174], [5.37038, 43.26377], [5.36816, 43.26299], [5.36864, 43.26673], [5.36927, 43.26591], [5.37151, 43.26633], [5.36884, 43.26829], [5.36761, 43.26612], [5.368, 43.26831], [5.36955, 43.26891], [5.37262, 43.26782], [5.37419, 43.27962], [5.37648, 43.27919], [5.37858, 43.28108], [5.38874, 43.28315], [5.39911, 43.27757], [5.39922, 43.27305], [5.40154, 43.26969], [5.3974, 43.26756], [5.39393, 43.26788], [5.39911, 43.25872], [5.39695, 43.25809], [5.39935, 43.25465], [5.39456, 43.25338], [5.39698, 43.24909], [5.39693, 43.24741], [5.39489, 43.24628], [5.39613, 43.24461], [5.39004, 43.24153], [5.39277, 43.23976], [5.39128, 43.23809], [5.39194, 43.23497], [5.38955, 43.23303], [5.38146, 43.232], [5.38185, 43.22705], [5.37944, 43.22589], [5.37843, 43.22343], [5.38363, 43.22339], [5.38156, 43.20972], [5.37994, 43.21065], [5.37278, 43.20847], [5.37204, 43.20967], [5.37019, 43.2076], [5.36322, 43.20731], [5.36156, 43.20966], [5.35706, 43.20839], [5.3523, 43.21015], [5.35361, 43.21249], [5.35088, 43.21115], [5.34724, 43.21303], [5.34481, 43.21216], [5.34058, 43.21391], [5.3371, 43.2136], [5.33608, 43.21498], [5.34294, 43.21462], [5.34247, 43.21673], [5.34488, 43.21705], [5.34487, 43.21566], [5.34638, 43.21544], [5.34485, 43.2218], [5.34604, 43.22449], [5.34829, 43.2252], [5.34657, 43.22623], [5.34846, 43.22831], [5.34935, 43.22895], [5.3479, 43.22957], [5.34989, 43.23199], [5.35253, 43.23344], [5.35335, 43.23226]]], [[[5.3721, 43.2524], [5.37226, 43.25226], [5.37065, 43.2516], [5.3721, 43.2524]]]]","MARSEILLE 13008 / CARRÉ D'OR - À LOUER ! Superbe appartement 3 pièces meublé de 95M², niché dans une résidence de standing du 8ème arrondissement de Marseille. Dès l'entrée, soyez accueilli par un grand hall avec rangements. Découvrez ensuite un séjour lumineux ouvert sur une belle terrasse, un espace salle à manger et une cuisine séparée entièrement équipée. Côté nuit, profitez de deux chambres dont une avec dressing, une salle d'eau et un wc séparé. Une place de parking privative et une cave viennent compléter ce bien. LIBRE DE SUITE - REF : 4213 - DPE D et GES D - LOYER : 2000€ dont 200€ de charges (comprenant l'eau froide, l'eau chaude, le chauffage et l'entretien de la résidence) - DÉPÔT DE GARANTIE : 3600€ - HONORAIRES AGENCE CHARGE LOCATAIRE : 1235€ (dont 285€ d'état des lieux) - Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  - MOBILIS :",BEL APPARTEMENT T3 MEUBLÉ DE 95M² AVEC PLACE DE PARKING,Appartement à louer,"['3 pièces', '2 chambres', '95 m²', 'Étage 2/8']",2000.0,seloger,25SRN5TWM4J5,3.0,95.0,28.0,3 pièces,95 m²,Étage 2/8,2.0,2 chambres,,,,,5.374977951044883,43.23782879940649,21.0
2025-11-19 11:52:00+00:00,2025-12-09 14:01:15.662000+00:00,Marseille 1er,13001,FRA,Point,"[5.3835311, 43.299871]","Rue Beaumont, au 3eme étage sans ascenseur, un appartement composé d'une entrée, un séjour lumineux, une cuisine séparée, deux chambres, une salle d'eau avec WC et un placard.
Disponible dès maintenant.
Pour plus d'informations contactez l'Agence 
Frais annuels d'énergie estimés entre 1130 et 1580 euros.
(Prix moyens des énergies indexés sur les années 2021,2022 et 2023 abonnement compris)",Appartement,Appartement à louer,"['3 pièces', '2 chambres', '49,8 m²', '3ème étage']",810.0,seloger,258LDFCB511P,3.0,49.8,3.0,3 pièces,"49,8 m²",3ème étage,2.0,2 chambres,,,,,5.3835311,43.299871,16.0
2025-12-08 21:40:00+00:00,2025-12-09 21:36:16.626000+00:00,Marseille 10ème,13010,FRA,Point,"[5.421385765, 43.278572083]","A+ Immoblier-Patrimoine vous propose à la location le bien suivant situé dans le secteur de Pont de Vivaux.  Au sein d'un immeuble récent de 2019, cet appartement de type 3 de 59m2 est composé d'une belle pièce de vie climatisée et ouvrant sur une terrasse et un beau jardin de 50m2. La cuisine américaine est entièrement équipée et meublée. Deux chambres dont une de 12m2 qui donnent également sur l'extérieur. La salle d'eau est spacieuse, elle bénéficie d'une douche à l'italienne et est séparée du wc. Le bien dispose de deux places de parking en sous-sol. Loyer de 1030 euros + 70 euros de charges. Honoraires de location de 767 euros à la charge du locataire ( état des lieux inclus).A proximité de nombreux commerces et des accès autouroute. Disponible le 26/12/2025.",Location Marseille 13010 / Pont de Vivaux / Type 3 meublé avec j,Appartement à louer,"['3 pièces', '2 chambres', '59 m²', 'RDC/4']",1130.0,seloger,258HY9876BPJ,3.0,59.0,4.0,3 pièces,59 m²,RDC/4,2.0,2 chambres,,,,,5.421385765,43.278572083,19.0
2025-11-29 03:12:00+00:00,2025-11-29 03:21:18.687000+00:00,Marseille 2ème,13002,FRA,MultiPolygon,"[[[[5.36571, 43.2963], [5.36513, 43.2954], [5.3636, 43.29512], [5.36368, 43.29488], [5.36292, 43.29459], [5.36192, 43.29474], [5.36096, 43.29563], [5.3612, 43.29605], [5.36259, 43.29649], [5.36485, 43.29891], [5.36755, 43.29842], [5.36722, 43.29683], [5.36571, 43.2963]]]]","DISPONIBLE À PARTIR DE 28/11/2025
AVAILABLE FROM 28/11/2025 

COLOCATION

FR Comment cela fonctionne?
Spacest est une plateforme en ligne de location à moyen et long terme. Nous vérifions que tous les appartements et que les photos sont récentes et fiables, vous pouvez donc louer votre logement en ligne en toute confiance.
Pour réserver en ligne, suivez le lien ci-dessus et cliquez sur 'Louer maintenant'.
Si vous avez besoin d'aide, contactez-nous et nous vous aiderons.

à Marseille 
L'appartement a une surface totale de 20 mètres carrés.
Dans l'appartement il n'y a qu'une salle de bain et une chambre
L'appartement peut accueillir jusqu'à 3 locataires.
L'appartement est meublé et dispose des services suivants : 
wifi, shower, living room, equipped kitchen, guest allowed
Il est important de noter que les services publics sont inclus dans le prix du loyer.
Lorsque vous réservez à travers le site de l'agence, vous devez payer des frais d'agence, qui seront calculés en fonction de la durée de la réservation

[ENG] How does Spacest work?
Spacest is an online platform for medium-long term rentals that was created as a guarantee for the tenant: we check all the apartments and the photos are recent and reliable so you can book online with peace of mind to avoid someone else doing it before you.
To book online, follow the link above and click on 'rent now'.
If you need help, contact us and we will help you.

in Marseille 
The apartment has a total area of 20 square meters.
There's only one bathroom in the apartment and only one bedroom
The apartment can accommodate up to 3 tenants.
The apartment is furnished and there are following amenities: 
wifi, shower, living room, equipped kitchen, guest allowed
Please note that utilities are included in the rental price.
When booking through the agency's website, you must pay an agency fee, which will be calculated based on the duration of the booking.",Le petit panier 1,Appartement à louer,"['2 pièces', '1 chambre', '20 m²']",1500.0,seloger,25GPVIJ2LA7W,2.0,20.0,,2 pièces,20 m²,,1.0,1 chambre,,,,,5.364465789445892,43.29673974677884,75.0
,2025-12-03 05:49:55.641037+00:00,Marseille,13002,FR,MultiPolygon,"[[[[5.36571, 43.2963], [5.36513, 43.2954], [5.3636, 43.29512], [5.36368, 43.29488], [5.36292, 43.29459], [5.36192, 43.29474], [5.36096, 43.29563], [5.3612, 43.29605], [5.36259, 43.29649], [5.36485, 43.29891], [5.36755, 43.29842], [5.36722, 43.29683], [5.36571, 43.2963]]]]","🏠Description du bien

Superbe Type 3 rénové & meublé – 71,6 m² – Marseille, Hotel de Ville (13002), rue Henri Tasso.

Offrez-vous un cadre de vie rare au cœur de Marseille.
Situé entre le Vieux-Port et la Place de Lenche, ce magnifique Type 3 de 71,59 m², entièrement rénové et meublé avec soin, se trouve au 5ᵉ étage avec ascenseur d’un immeuble historique signé Jean Crozet. Un appartement lumineux, dispose d'une vue imprenable sur l'église Saint-Laurent et le Fort Saint-Nicolas, au calme, tout en étant au cœur de la vie marseillaise.

🛋 → Le mobilier n’apparaît pas encore sur les photos : installation complète fin décembre (canapé, literie neuve, ameublement qualitatif). Disponible mi-janvier. Premiers occupants recherchés.

✨ Prestations & aménagements

• Séjour lumineux 29 m² exposé S/O – canapé, meuble TV, table basse & espace repas en famille (déco murale possible)
• Cuisine séparée équipée et fonctionnelle (four, réfrigérateur, plaques électriques, hotte, placards, espace petit déjeuner avec table en bois fixée au mur et tabourets)
• 2 chambres de 13 m² avec literie neuve et rangements
• Salle de bain contemporaine refaite à neuf + WC séparés
• Rénovation complète : peintures neuves, rangements optimisés, stores électriques dans toutes les pièces.
• Bien équipé: mobilier / électroménager / vaisselles pour première location
• Cave privative 3 m²
•Jardinière extérieure intégrée, permettant d’aménager un espace végétal
• Immeuble de standing – copropriété entretenue et calme

📍 Localisation premium

L'un des quartiers les plus recherchés, beau cadre de vie, à deux pas du MUCEM, du Fort Saint-Jean, de la Major et des quais, vous profitez d’un quartier à la fois vivant, culturel et parfaitement desservi. Tout peut également se faire à pied.

🎯 Idéal pour
Salariés, cadres, jeunes couples, mutation, mobilité professionnelle.

📅 Disponibilité & visites

• Entrée possible entre le 10 et le 15 janvier (à confirmer)
• Visites dès début janvier (photos avec mobilier mises à jour dès installation)
• Dossier complet demandé en amont pour faciliter l'organisation

Je reste disponible pour toute information complémentaire.","💎 ""LE CROZET VUE PORT"" – APPT MEUBLE 71,6 M² – CONFORT & VUE DÉGAGÉE AU CŒUR DU VIEUX-PORT (Hotel de ville- 13002)",Appartement à louer,"['3 pièces', '2 chambres', '72 m²', 'Étage 5/8']",1530.0,seloger,25B5LF23MSNA,3.0,72.0,58.0,3 pièces,72 m²,Étage 5/8,2.0,2 chambres,,,,,5.364465789445892,43.29673974677884,21.0
2025-12-10 00:16:00+00:00,2025-12-10 00:21:23.270000+00:00,Marseille 10ème,13010,FRA,Point,"[5.397482, 43.28252399999989]","L'agence Nous gérons vous propose à la location un charmant studio de 20 m2 au rez - de chaussé d'une  petite monopropriété.  Cet appartement se  situe dans le 10ème arrondissement, au 5 rue du Salon, 13010 Marseille.

Ce dernier, se compose d'une agréable pièce principale, d'une cuisine entièrement équipée (machine à laver, plaques vitro céramiques, micro-ondes, réfrigérateur, vaisselles) et d'une salle d'eau avec WC. Récemment refait à neuf par un architecte et meublé avec goût, il est parfait  est prêt à vous  offrir tout le confort nécessaire.

 A proximité :

 - Bus  : 18, 518, 72
 - Métro : M1 (  Station Baille )
 - Espaces verts
 - Commodités

Loyer hors charges : 500€
Charges : 50€
Loyer charges comprises : 550€
Dépôt de garantie : 550€
Honoraires de location: 260€
soit 13€ du m2 x 20 m2.

Le bail est individuel et éligible aux APL.

Mentions légales :

Loyer révisé chaque année à la date d'anniversaire de renouvellement du bail selon l'IRL.

Barème honoraires de location :

Prix au mètre carré de surface habitable concernant les honoraires de visite, de constitution du dossier du locataire et de rédaction du bail :
Zone” très tendue” 12 € TTC
Zone “tendue"" 10 € TTC
Zone “non tendue” 8 € TTC
Prix au mètre carré de surface habitable concernant les honoraires de réalisation de l'état des lieux : 3 € TTC

SARL MRZ
Carte professionnelle n° : CPI75012015000000390 Valable
Délivrée par : CCI de Paris Île-de-France
Organisme garant : SOCAF
26 avenue de Suffren 75015 PARIS

Mis à jour le 10/12/2025
Updated on 10/12/2025",Studio,Appartement à louer,"['1 pièce', '20 m²', 'RDC']",550.0,seloger,254LHF31EBVN,1.0,20.0,,1 pièce,20 m²,RDC,,,,,,,5.397482,43.28252399999989,28.0
2025-10-22 11:59:00+00:00,2025-12-03 16:05:09.511000+00:00,Marseille 10ème,13010,FRA,MultiPolygon,"[[[[5.39868, 43.28597], [5.39872, 43.2861], [5.39872, 43.28614], [5.39878, 43.2863], [5.39895, 43.28683], [5.39944, 43.28684], [5.39956, 43.28684], [5.39966, 43.28685], [5.40031, 43.28688], [5.40123, 43.28691], [5.40236, 43.28696], [5.40304, 43.28657], [5.40416, 43.28692], [5.40464, 43.28708], [5.40568, 43.28739], [5.40581, 43.28743], [5.4058, 43.28748], [5.40637, 43.28764], [5.40635, 43.28778], [5.40632, 43.28797], [5.40628, 43.28826], [5.40599, 43.29038], [5.40609, 43.29035], [5.40622, 43.2903], [5.4066, 43.29011], [5.40679, 43.29002], [5.40697, 43.28993], [5.40718, 43.28983], [5.4072, 43.28982], [5.4082, 43.28933], [5.4085, 43.28918], [5.40872, 43.28903], [5.40897, 43.28885], [5.40928, 43.28864], [5.40938, 43.28859], [5.40958, 43.2885], [5.40976, 43.28842], [5.40992, 43.28836], [5.41006, 43.28831], [5.41026, 43.28826], [5.41081, 43.28815], [5.41102, 43.28809], [5.41125, 43.288], [5.41127, 43.28799], [5.41134, 43.28796], [5.41185, 43.28771], [5.41193, 43.28766], [5.41199, 43.28762], [5.41208, 43.28751], [5.41245, 43.2869], [5.41188, 43.28683], [5.4109, 43.28673], [5.41076, 43.28671], [5.41073, 43.28671], [5.41007, 43.28663], [5.40799, 43.28639], [5.40782, 43.28637], [5.4077, 43.28635], [5.40735, 43.28631], [5.40727, 43.28631], [5.40722, 43.2863], [5.40714, 43.28629], [5.40709, 43.28629], [5.40646, 43.28622], [5.40624, 43.2862], [5.40543, 43.2861], [5.40473, 43.28602], [5.40464, 43.28601], [5.40418, 43.28594], [5.4041, 43.28595], [5.40405, 43.28596], [5.40393, 43.286], [5.40377, 43.28596], [5.40304, 43.28581], [5.40294, 43.28579], [5.4029, 43.28578], [5.40287, 43.28577], [5.40281, 43.28576], [5.40251, 43.28573], [5.40172, 43.28564], [5.40159, 43.28563], [5.40084, 43.28555], [5.40046, 43.28551], [5.40018, 43.28548], [5.3995, 43.28541], [5.39933, 43.28539], [5.39898, 43.28536], [5.39884, 43.28537], [5.39868, 43.28537], [5.39866, 43.28558], [5.39865, 43.2857], [5.39865, 43.28582], [5.39866, 43.28592], [5.39868, 43.28597]]]]","Pour candidater, utilisez la rubrique « Contacter » sur SeLoger et consultez vos e-mails via la plateforme Nockee.Appartement disponible au 7 novembre.

Situé au 8e étage d'un immeuble bien entretenu de 11 étages avec ascenseur, cet appartement T3 de 55 m², récemment rénové, offre un cadre de vie lumineux et fonctionnel dans un environnement calme et résidentiel du 10e arrondissement de Marseille.

L'appartement bénéficie d'une belle luminosité grâce à sa position en hauteur.

Description du bien

L'entrée dessert un séjour clair et agréable, donnant accès à une loggia fermée.

La cuisine séparée, moderne et bien agencée, offre de nombreux rangements et permet un espace de vie bien distinct.La partie nuit comprend deux chambres confortables, ainsi qu'une salle d'eau avec WC entièrement rénovée.

Les menuiseries double vitrage et la rénovation récente apportent un bon niveau de confort et d'isolation.

Environnement et localisation

L'immeuble se situe dans un secteur recherché du 10e arrondissement, proche de toutes les commodités.Les commerces de proximité, transports en commun, écoles et axes autoroutiers (A50 et L2) sont facilement accessibles.Le Parc du 26e Centenaire, les hôpitaux La Timone et La Conception se trouvent à quelques minutes, offrant un cadre de vie pratique et agréable.

Les atouts du bien

* Appartement rénové récemment
* 8e étage avec ascenseur
* Loggia séprée et lumineuse
* Cuisine séparée et fonctionnelle
* Double vitrage
* Immeuble calme et bien entretenu
* Quartier résidentiel avec commerces et transports à proximité

Loyer et conditions financières
* Loyer mensuel hors charges : 1 016 euros
* Provisions pour charges : 84 euros (dont 55 euros de charges courantes et 29 euros d'eau froide)
* Loyer charges comprises : 1 100 euros
* Dépôt de garantie : 2032 euros
* Honoraires locataire : 715

Cet appartement T3 rénové au 8e étage avec ascenseur conviendra parfaitement à un couple, une personne seule ou une colocation souhaitant s'installer dans un logement clair, fonctionnel et bien situé dans le 10e arrondissement de Marseille.",T3 rénové avec loggia – 8e étage avec ascenseur – Marseille 10e,Appartement à louer,"['3 pièces', '2 chambres', '55 m²', 'Étage 8/11']",1100.0,seloger,2518FDW5MYVU,3.0,55.0,811.0,3 pièces,55 m²,Étage 8/11,2.0,2 chambres,,,,,5.4060366052003825,43.287253420854604,20.0
